date,timestamp,note_count,tags
2015-10-17 19:29:17 GMT,1445110157,0,"george w bush,jeb bush,hillary clinton,ted cruz,trump"
2015-10-17 19:18:21 GMT,1445109501,0,"trump,jeb bush,marco rubio,ted cruz,ben carson"
2015-10-16 16:21:02 GMT,1445012462,0,"Iraq,Jeb Bush,Middle East"
2015-10-17 19:01:26 GMT,1445108486,0,"MARCO RUBIO,jeb bush,trump,hillary,water"
2015-10-17 17:58:03 GMT,1445104683,0,"donald trump,jeb bush,george w. bush,george bush,911,politics,republican,GOP,conservatives"
2015-10-17 17:56:27 GMT,1445104587,0,"barack obama,candidates quotes,foreign policy,jeb bush,Richard Corriere"
2015-10-17 17:03:03 GMT,1445101383,2,"911,Donald Trump,George W. Bush,Jeb Bush,September 11th attacks,twitter"
2015-10-17 17:02:19 GMT,1445101339,0,"9-11,Donald Trump,George W. Bush,Jeb Bush,massacre,republican"
2015-10-17 17:02:16 GMT,1445101336,0,"9-11,Donald Trump,George W. Bush,Jeb Bush,massacre,republican"
2015-10-17 16:31:26 GMT,1445099486,2,"911,DONALD TRUMP,GEORGE BUSH,JEB BUSH,U.S.,UNITED STATES,WASHINGTON"
2015-10-17 15:04:57 GMT,1445094297,2,"campaign 2016,donald trump,jeb bush,george w. bush,republicans,9/11"
2015-10-17 14:26:19 GMT,1445091979,0,"2016 election,Jeb Bush,Marco Rubio,presidential candidate"
2015-10-17 12:53:09 GMT,1445086389,0,"Donald Trump,Hillary Clinton,Jeb Bush"
2015-10-17 10:35:46 GMT,1445078146,0,"bush,jeb bush,conservatives,republicans,liberalism,war,iraq,politics,culture,history"
2015-10-17 06:50:45 GMT,1445064645,0,"9/11,Donald Trump,Jeb Bush"
2015-10-17 03:38:59 GMT,1445053139,0,"George Bush,jeb bush,kept us safe,Osama bin Laden,September 11th"
2015-10-17 02:48:58 GMT,1445050138,3,"Donald trump,jeb bush,I'm screaming"
2015-10-17 02:07:52 GMT,1445047672,1,"Jeb Bush,politics,republican,GOP"
2015-10-17 02:01:30 GMT,1445047290,0,"9/11,donald trump,george w. bush,jeb bush,truther"
2015-10-17 01:20:03 GMT,1445044803,1,"Donald Trump,Can't Stump the Trunp,Jeb Bush,Jeb Kush,Trump"
2015-10-17 01:08:50 GMT,1445044130,2,"jeb bush,why do I find this so funny"
2015-10-16 22:59:31 GMT,1445036371,0,"911,george w bush,jeb bush,trump,donald trump"
2015-10-16 21:31:29 GMT,1445031089,0,"2016 republican primary,9/11,donald trump,george w. bush,jeb bush,politics,republicans"
2015-10-16 19:09:37 GMT,1445022577,6,"trump,jeb bush,donald trump"
2015-10-16 16:08:19 GMT,1445011699,0,"another idiot,jeb bush"
2015-10-16 15:42:04 GMT,1445010124,0,"Fundraising,Jeb Bush,New Hampshire"
2015-10-16 15:22:55 GMT,1445008975,0,"2016 elections,jeb bush,NASA,space shuttle columbia,space shuttle challenger,Kalpana Chawla"
2015-10-16 15:20:07 GMT,1445008807,0,"Crime,Jeb Bush,News,Politics,Shooting"
2015-10-16 14:00:42 GMT,1445004042,0,"ben carson,fundraising,GOP,gop debate,jeb bush"
2015-10-07 14:57:00 GMT,1444229820,0,"Republican Party United States,Progressive Breakfast,Jeb Bush,George W. Bush,Don Lichterman,Democratic Party (United States),Barack Obama"
2015-09-26 16:48:00 GMT,1443286080,0,"Sunset Daily News & Sports,Republican Party United States,Real Time With Bill Maher Show Weekly Update,Jeb Bush,Grover Norquist,Donald Trump,Don Lichterman,Barack Obama,Americans for Tax Reform"
2015-09-22 14:17:00 GMT,1442931420,0,"Sustainable Action Network (SAN),Republican Party United States,Progressive Breakfast,Planned Parenthood,Jeb Bush,Florida,Donald Trump,Don Lichterman,David Frum,Broward County,Barack Obama"
2015-10-16 09:37:32 GMT,1444988252,0,"jeb bush,hillary clinton,bernie sanders,ben carson,donald trump,taylorÂ swift-katy perry feud,us airways,chris christie,marshmallow only lucky charms,randy quaid"
2015-10-16 04:44:49 GMT,1444970689,4,"2016 gop presidential primary,economy,free stuff,jeb bush,marco rubio"
2015-10-16 02:30:20 GMT,1444962620,0,"Jeb Bush,Republicans,GOP,News,Politics,Election 2016"
2015-10-16 01:51:36 GMT,1444960296,0,"Jeb Bush,Debates,Republican"
2015-10-16 00:59:15 GMT,1444957155,0,"GOP,Jeb Bush,presidential candidate,Republican"
2015-10-16 00:20:23 GMT,1444954823,0,"jeb bush,bumper sticker,conservative,election,2016 elections"
2015-10-15 22:58:22 GMT,1444949902,0,"NBC,TRUMP,CNN,HILLARY,JEB BUSH"
2015-10-15 22:39:37 GMT,1444948777,15,"jeb bush,jeb!,2016,moon,space,wut"
2015-10-15 22:32:09 GMT,1444948329,0,"jeb bush,busted,staffer,planted,used,attack,donald trump"
2015-10-15 22:31:09 GMT,1444948269,2,"donald trump,jeb bush,probably"
2015-10-15 19:34:13 GMT,1444937653,1,"Jeb Bush,Poor Families,Poverty"
2015-10-15 19:20:57 GMT,1444936857,1,"jeb bush,ben carson,stuff happens,school shooting,gun laws,usa"
2015-10-15 18:46:22 GMT,1444934782,1,"trump,jeb bush,marco rubio,ted cruz"
2015-10-15 18:15:30 GMT,1444932930,19,"fuckyoujebbush,families,Jeb Bush,New York Times,Philip Richardson,poor people,poverty,Republican,The Blaze,twitter"
2015-10-15 16:39:38 GMT,1444927178,0,"Marco Rubio,Jeb Bush"
2015-10-15 13:10:47 GMT,1444914647,0,"dead children,gun violence,jeb bush,stand your ground,stuff happens"
2015-10-15 12:02:12 GMT,1444910532,0,"health,healthcare,conservative ideas,jeb bush,npr,health insurance,access to care"
2015-08-17 14:31:00 GMT,1439821860,0,"Sustainable Action Network (SAN),Progressive Breakfast,President of the United States,Orrin Hatch,Jeb Bush,George W. Bush,Don Lichterman,Barack Obama"
2015-08-17 13:31:00 GMT,1439818260,0,"The Washington Post,Sunset Daily News & Sports,National security,Morning Joe Recap,Jeb Bush,Iraq War,George W. Bush,Don Lichterman,Barack Obama"
2015-10-15 10:00:45 GMT,1444903245,3,"JEB BUSH,Russia,Syria,UNITED STATES,VLADIMIR PUTIN"
2015-10-15 09:37:16 GMT,1444901836,5,"follow me,jeb bush"
2015-10-15 08:48:44 GMT,1444898924,0,"donald trump,hispanic,voters,florida,jeb bush,marco rubio,inside politics,dc whispers"
2015-10-15 07:29:15 GMT,1444894155,0,"jeb bush,james bond 007,allinforjeb,gop,jeb bush green screen,gimp,photoshop,spectre"
2015-10-15 01:34:56 GMT,1444872896,0,"Jeb Bush,New York Times,Philip B. Richardson"
2015-10-15 00:27:34 GMT,1444868854,0,jeb bush
2015-10-14 23:52:50 GMT,1444866770,0,"TRUMP,hillary,bernie sanders,jeb bush"
2015-10-14 21:47:08 GMT,1444859228,1,"elections,2016,presidents,jeb bush,bernie sannders,coffee"
2015-10-14 21:38:17 GMT,1444858697,2,"Jeb Bush,Jim Webb,@juliannehing,DemDebate,2016 elections"
2015-10-14 17:30:08 GMT,1444843808,125,"jeb bush,affordable care act,healthcare,obamacare,news"
2015-10-14 17:01:16 GMT,1444842076,0,"pope francis,ecocomp,the nation,jeb bush,climate change"
2015-10-14 16:18:22 GMT,1444839502,0,"ACA,Affordable Care Act,Healthcare,Jeb Bush,Medicaid Expansion"
2015-10-14 14:03:41 GMT,1444831421,0,"obama,hillary,trump,jeb bush,politics"
2015-10-14 14:01:26 GMT,1444831286,1,"Jeb Bush,politics,politician,political,politicalinspirations,candidate,campaign,primary,GOP,Republican,election,election2016,monetary policy,fiscal policy,tax policy,taxes,trickle down,trickle down economics,trickle down theory,supply side economics,supply side theory,money,domestic policy"
2015-10-14 13:01:22 GMT,1444827682,0,"jeb bush,health care,wabe"
2015-07-20 12:01:00 GMT,1437393660,0,"Sunset Daily News & Sports,Ralph Ellis,Morning Joe Recap,Jeb Bush,Illegal immigration,Emily Shapiro,Donald Trump,Don Lichterman,Dan Murphy,Benjamin Bell,Barack Obama"
2015-10-14 12:00:55 GMT,1444824055,0,"Cancer,Jeb Bush,Obamacare,politics"
2015-10-14 10:51:50 GMT,1444819910,0,"jeb bush,christmas,jebbushgreenscreen,sillouette,allinforjeb,gop,stuff happens"
2015-10-14 10:24:45 GMT,1444818285,0,"jeb bush,anxiety,allinforjeb,jebbushgreenscreen,gop,jeb,books,green screen,dreamstime"
2015-10-14 10:00:48 GMT,1444816848,0,"2016 presidential campaign,dirty pool,Donald Trump,Jeb Bush,Republican Party"
2015-10-14 02:41:23 GMT,1444790483,8,"so intelligent,i'm enlightened,donald trump,jeb bush,mike huckabee,bernie sanders,hilary clinton,2k16 election,democratic debates,republicans,twitter"
2015-10-14 02:30:22 GMT,1444789822,2,"virginia politics,election 2016,republican party,presidential primary elections,jeb bush"
2015-10-13 22:39:34 GMT,1444775974,0,"2016 Presidential campaign,donald trump,Jeb Bush,news,overpasses.org,Politics"
2015-10-13 21:32:36 GMT,1444771956,0,"jeb bush,obamacare,affordable care act,barack obama,gop,dodgeball movie,pepper brooks"
2015-10-13 17:31:35 GMT,1444757495,0,"affordable care act,anti-health care,health care,jeb bush,let them die,obamacare,war on the poor"
2015-10-13 17:31:22 GMT,1444757482,24,"children,Conservative,GOP,Jeb Bush,maternity leave,paid parental leave,Republican,women"
2015-10-13 17:27:29 GMT,1444757249,0,"people's cube,jeb,jeb bush,presidency"
2015-10-13 17:17:05 GMT,1444756625,15,"operation citadel,Operation Zitadelle,battle of kursk,jeb bush,chive,thechive,the chive,kcco,das reich,waffen ss,kursk,Panzerkampfwagen,tiger tank,tiger i,panzer vi"
2015-10-13 16:45:12 GMT,1444754712,0,"alabama,campaign,campaign stop,football game,Jeb Bush,LSU,November,sec,SEC Tailgaiting with Jeb,tuscaloosa,University of Alabama"
2015-10-13 16:15:51 GMT,1444752951,31,"last name basis,chescaleigh,podcast,jeb bush,cj pearson,florida man"
2015-10-13 15:45:19 GMT,1444751119,3,"Jeb Bush,I'm not even American!,Sorry guys,Ace Attorney,I hope this is okay."
2015-10-13 15:24:23 GMT,1444749863,2,"Lauren Batchelder,rinos,jeb bush,trump,hillary"
2015-10-13 15:10:03 GMT,1444749003,0,Jeb Bush
2015-10-13 15:00:44 GMT,1444748444,0,"trump,lauren batchelder,jeb bush"
2015-10-13 14:57:38 GMT,1444748258,3,"Lauren Batchelder,trump,jeb bush,jeb is a loser"
2015-10-13 14:45:00 GMT,1444747500,144,"CNN,conservative,donald trump,election 2016,Jeb Bush,liberal bias,libertarian,media bias,news,phony,politics,tcot,trump,Election,Media Bias"
2015-10-13 14:36:33 GMT,1444746993,0,"umpqua community college,jeb bush"
2015-10-13 14:27:52 GMT,1444746472,0,"election 2016,super pacs,dark money,money in politics,jeb bush,chris christie"
2015-06-17 13:43:00 GMT,1434548580,0,"Sustainable Action Network (SAN),Republican Party United States,Progressive Breakfast,Jeb Bush,Hillary Clinton,Don Lichterman,Democratic Party (United States),Bernie Sanders,Barack Obama"
2015-06-05 14:48:00 GMT,1433515680,0,"WikiLeaks,Sustainable Action Network (SAN),Progressive Breakfast,Martin O'Malley,Jeb Bush,In the Loop (film),Hillary Clinton,Elizabeth Warren,Don Lichterman,Democratic Party (United States),Chris Christie,Carly Fiorina,Bernie Sanders,Barack Obama"
2015-10-13 03:49:12 GMT,1444708152,2,"fake candidate,Gil Fulbright,Jeb Bush,New Hampshire,straw poll"
2015-10-13 00:41:15 GMT,1444696875,0,"jeb bush,christmas,dyson,jebbushgreenscreen,gop,politics,shopping,advertisement,allinforjeb,comedy,humor,parody,satire"
2015-10-13 00:05:43 GMT,1444694743,0,"brookings institution,jeb bush,tax plan,republican candidate,2016 presidential election,election2016,tax reform"
2015-10-12 22:17:21 GMT,1444688241,0,"nhpolitics,jeb bush,honest gil,rand paul,new hampshire,rlcnh"
2015-10-12 19:29:48 GMT,1444678188,0,"Ben Carson,donald trump,jeb bush,John Kasich,Marco Rubio,mike huckabee,Rand Paul,Richard Corriere,ted cruz"
2015-10-12 16:39:27 GMT,1444667967,124,"george bush,bush family,politics,jeb bush,election,wow,clickhole"
2015-10-12 15:20:24 GMT,1444663224,1,"marco rubio,trump,rand paul,jeb bush,msnbc"
2015-10-12 15:05:33 GMT,1444662333,0,"jeb bush,voting rights,voting rights act,voter rights,politics"
2015-10-12 12:07:57 GMT,1444651677,0,"Marco Rubio,Jeb Bush,GOP,Politics,Election 2016"
2015-05-06 12:59:00 GMT,1430917140,0,"Texas,McCann Erickson,Mad Men,Jon Ward,Jeb Bush,Elizabeth Chuck,Denise Royal,Casino Royale Hotel & Casino,California,Bill Clinton,Betty Draper,Ben Kamisar,Associated Press,Apoplexy,Amarillo"
2015-04-17 12:48:00 GMT,1429274880,0,"Republican Party United States,Morning Joe Recap,Jeb Bush,Holly Yan,Good Morning America,Ed Lavandera,Don Lichterman,Catherine E. Shoichet,Avianne Tan"
2015-10-12 03:38:23 GMT,1444621103,2,"trump,huckabee,marco rubio,jeb bush,RAND PAUL"
2015-10-12 00:44:47 GMT,1444610687,2,"jeb bush,pokemon,pikachu,christmas,allinforjeb,jebbushgreenscreen,north pole,santa claus"
2015-10-12 00:30:26 GMT,1444609826,15,"tv,late night with seth meyers,seth meyers,jeb bush,gif"
2015-10-12 00:18:57 GMT,1444609137,1,"jeb bush,9V-STG,airbus a330-300,sia,singapore,allinforjeb,jebbushgreenscreen"
2015-10-11 23:13:49 GMT,1444605229,0,"Voter suppression,Republicans,Right to vote,Jeb Bush,mike huckabee,rick perry,chris christie,bobby jindal,marco rubio,Ted Cruz,john kasich,rick santorum,lindsay graham,Rand paul,Scott Walker"
2015-10-11 22:19:49 GMT,1444601989,0,"murder,jeb bush,death,kfc,kill"
2015-10-11 20:16:03 GMT,1444594563,0,"fight club,feudalism,futilism,graphic design,jeb bush"
2015-10-11 15:08:50 GMT,1444576130,0,"jeb bush,allinforjeb,green screen,gop,jebbushgreenscreen"
2015-10-11 11:09:52 GMT,1444561792,1,"hillary2016,hillary clinton,politics,campaign,jeb bush,jeb,bush,clinton,president,potus,political,politicalsatire,satire,republican,democrat,congress,white house,president obama,obama,michelle obama"
2015-10-10 23:00:20 GMT,1444518020,60,"LOL,Funny Or Die,comedy,jeb bush,bushes,presidential candidate,2016 presidential race"
2015-10-10 22:58:49 GMT,1444517929,0,"exclusive video,Jeb Bush,newsone now,Roland Martin,Supreme Court,Tiffany Loftin,Video,Voter Suppression,voting rights act"
2015-10-10 21:37:01 GMT,1444513021,0,"Donald Trump,immigrant,immigration.,Jeb Bush,Sarah Palin"
2015-10-10 20:55:58 GMT,1444510558,0,"yahoo news digest,Politics,Jeb Bush"
2015-10-10 16:11:59 GMT,1444493519,0,"ben carson,carly fiorina,donald trump,jeb bush,john boehner,Kevin McCarthy,marco rubio,paul ryan,politics,scott walker"
2015-10-10 13:56:54 GMT,1444485414,0,"barack obama,foreign policy,jeb bush,republicans,Richard Corriere"
2015-10-10 13:30:33 GMT,1444483833,0,"jeb bush,jeb,bush,president,candidate"
2015-10-10 13:00:52 GMT,1444482052,2,"Vladimir Putin,John Boehner,Jeb Bush,Oregon shooting,Umpqua,GOP,Speaker of the House,editorial cartoons,USA TODAY Opinion,cartoons"
2015-10-10 10:31:07 GMT,1444473067,0,"jeb bush,allinforjeb,christmas,green screen,greenscreen,gop"
2015-10-10 09:43:49 GMT,1444470229,0,"jeb bush,pride,green screen,allinforjeb,guaca bowle,GOP"
2015-10-10 07:12:38 GMT,1444461158,3,"Jeb Bush,Sports,Politics"
2015-10-10 04:06:15 GMT,1444449975,32,"politics,gun control,Bernie sanders,Hillary Clinton,jeb bush,Ben Carson"
2015-10-10 03:10:01 GMT,1444446601,35,"ted cruz,jeb bush,fox news,ucc,gun control,GOP,2016,nra"
2015-10-09 21:51:57 GMT,1444427517,1,"Gun violence,Ben Carson,Jeb Bush,Mass Shootings,politics"
2015-10-09 20:52:22 GMT,1444423942,0,"California,Carly Fiorina,Donald Trump,Eric Cantor,Jeb Bush,Leaders of the United States House of Representatives,Marco Rubio,Primary election,Republican Party (United States),Virginia"
2015-10-09 16:22:16 GMT,1444407736,5,"jeb bush,washington,dc,redskins,republican,gop,conservative,news,politics"
2015-10-09 16:02:49 GMT,1444406569,135,"justice,jeb bush,republican,judge collins,domestic violence,abuse,florida,conservative,gop,libertarian"
2015-10-09 14:58:33 GMT,1444402713,0,"Reddit,Photoshop,Us World,Us,Jeb Bush"
